dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
TwoLeadECG,1,1dCNN autoencoder,0.9957264957264957,0.0002123462618328631,0.0001,0.17045829658440592,0.98,0.22,0.8091878290065245,0.6246341463414634,0.5,local,0.5
TwoLeadECG,1,LSTM autoencoder,0.9957264957264957,0.0035353887360543013,0.0001,0.5983417079670192,0.78,1.0,2.8404063479194805,0.23658536585365852,0.5,local,0.5
TwoLeadECG,1,No autoencoder,0.9957264957264957,0,0.0001,0.05529155680666132,0.66,0.2,0.26247625202929703,0.8402439024390244,0.5,local,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9655540819333923,0.00020661661983467638,0.0001,0.16809463623369958,0.94,0.22,0.6729967821294968,0.5841463414634146,0.5,local,0.5
TwoLeadECG,2,LSTM autoencoder,0.9655540819333923,0.004227518104016781,0.0001,0.6334443345852171,0.82,1.0,2.536107090539904,0.19048780487804878,0.5,local,0.5
TwoLeadECG,1,1dCNN autoencoder,0.9957264957264957,0.00021253373415675014,0.0001,0.16900705742036312,0.98,0.22,0.8022986068797533,0.6231707317073171,0.5,local,0.5
TwoLeadECG,1,1dCNN autoencoder,0.9957264957264957,0.00021253373415675014,0.001,0.3029210675255439,1.0,0.76,1.4380059281535613,0.5541463414634147,0.5,local,0.5
TwoLeadECG,1,LSTM autoencoder,0.9957264957264957,0.0035554850473999977,0.001,0.5528265393601274,0.92,0.98,2.624339889378758,0.23926829268292682,0.5,local,0.5
TwoLeadECG,1,No autoencoder,0.9957264957264957,0,0.001,0.11318833332088986,0.98,0.38,0.5373198227605469,0.7526829268292683,0.5,local,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9871058060713234,0.00017218082211911678,0.001,0.2974777618680457,0.98,0.66,1.186386022884847,0.5470731707317074,0.5,local,0.5
TwoLeadECG,2,LSTM autoencoder,0.9871058060713234,0.00414214376360178,0.001,0.5451609446974689,0.94,1.0,2.1741837808322257,0.19585365853658537,0.5,local,0.5
TwoLeadECG,2,No autoencoder,0.9871058060713234,0,0.001,0.13495533988769282,0.94,0.36,0.5382221781924439,0.6695121951219513,0.5,local,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896551724138,0.00020900138770230114,0.0001,0.16946641860766845,0.74,0.44,0.7201489155414772,0.6107317073170732,0.5,local,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896551724138,0.0036731394939124584,0.0001,0.5233161777628523,0.94,1.0,2.223836326969947,0.21390243902439024,0.5,local,0.5
TwoLeadECG,3,No autoencoder,0.9956896551724138,0,0.0001,0.0738478534436521,0.78,0.36,0.313817050064841,0.8021951219512196,0.5,local,0.5
TwoLeadECG,4,1dCNN autoencoder,1.0,0.00019934069132432342,0.0001,0.1728101628399811,0.58,0.48,0.7049404712933312,0.6302439024390244,0.5,local,0.5
TwoLeadECG,4,LSTM autoencoder,1.0,0.0038729484658688307,0.001,0.618470700874008,0.88,1.0,2.522913121486691,0.21804878048780488,0.5,local,0.5
TwoLeadECG,4,No autoencoder,1.0,0,0.0001,0.0765392117516142,0.7,0.34,0.3122246233548476,0.8097560975609757,0.5,local,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896551724138,0.00017618118727114052,0.001,0.2884955186548235,1.0,0.7,1.1454667576425779,0.5734146341463414,0.5,local,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896551724138,0.004279757849872112,0.001,0.5741107474729091,0.9,1.0,2.2794973714041604,0.19585365853658537,0.5,local,0.5
TwoLeadECG,5,No autoencoder,0.9956896551724138,0,0.001,0.130334154001356,0.92,0.4,0.5174896355067716,0.671219512195122,0.5,local,0.5
