dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
TwoLeadECG,1,1dCNN autoencoder,0.9957264957264957,0.00021275843027979136,0.0001,0.1697567881926622,0.94,0.22,0.8058576769170176,0.6182926829268293,0.5,local,0.5
TwoLeadECG,1,LSTM autoencoder,0.9957264957264957,0.0035353887360543013,0.0005,0.6215396478931848,0.92,0.96,2.9505300029272896,0.23219512195121952,0.5,local,0.5
TwoLeadECG,1,1dCNN autoencoder,0.9957264957264957,0.00021275843027979136,0.0001,0.1697567881926622,0.94,0.22,0.8058576769170176,0.6182926829268293,0.5,local,0.5
TwoLeadECG,1,LSTM autoencoder,0.9957264957264957,0.0035353887360543013,0.0005,0.6215396478931848,0.92,0.96,2.9505300029272896,0.23219512195121952,0.5,local,0.5
TwoLeadECG,1,No autoencoder,0.9957264957264957,0,0.001,0.10743808752193028,0.96,0.36,0.5100226538485626,0.7582926829268293,0.5,local,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9655540819333923,0.0002065085427602753,0.0001,0.1687537932216545,0.96,0.22,0.6756358344023757,0.5821951219512195,0.5,local,0.5
TwoLeadECG,2,LSTM autoencoder,0.9655540819333923,0.004227517172694206,0.0005,0.5667626514404203,0.92,1.0,2.269135108631824,0.19146341463414634,0.5,local,0.5
TwoLeadECG,2,No autoencoder,0.9655540819333923,0,0.001,0.1317727231995684,0.94,0.32,0.5275755412115344,0.7060975609756097,0.5,local,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896551724138,0.0002083862345898524,0.0001,0.170240776972531,0.84,0.44,0.7234395576715061,0.5941463414634146,0.5,local,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896551724138,0.003674834966659546,0.0005,0.5260156939202462,0.98,1.0,2.2353079426989155,0.204390243902439,0.5,local,0.5
TwoLeadECG,3,No autoencoder,0.9956896551724138,0,0.001,0.15099895441559405,0.62,0.68,0.6416712771987838,0.5782926829268292,0.5,local,0.5
TwoLeadECG,4,1dCNN autoencoder,1.0,0.000199930727831088,0.0001,0.17240698967682724,0.54,0.48,0.7032958164016435,0.6273170731707317,0.5,local,0.5
TwoLeadECG,4,LSTM autoencoder,1.0,0.0038686152547597885,0.0005,0.5538019081634302,0.92,1.0,2.2591112219792877,0.22097560975609756,0.5,local,0.5
TwoLeadECG,4,No autoencoder,1.0,0,0.001,0.16616396967097746,0.76,0.62,0.6778288103361925,0.5526829268292683,0.5,local,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896551724138,0.0001991914032259956,0.0001,0.17058510662035892,0.96,0.2,0.6773053872504792,0.5641463414634146,0.5,local,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896551724138,0.004310464020818472,0.0005,0.6555945940552652,0.88,1.0,2.6030276570048887,0.18414634146341463,0.5,local,0.5
TwoLeadECG,5,No autoencoder,0.9956896551724138,0,0.001,0.13173903537677573,0.92,0.5,0.5230676941243741,0.6953658536585365,0.5,local,0.5
TwoLeadECG,1,1dCNN autoencoder,1.0,0.00020698214939329773,0.0001,0.1671439880017415,0.74,0.32,0.793454372669095,0.5882926829268292,0.5,local,0.5
TwoLeadECG,1,LSTM autoencoder,1.0,0.003511307528242469,0.0005,0.4406841054220234,0.98,1.0,2.0919850877868833,0.2597560975609756,0.5,local,0.5
TwoLeadECG,1,No autoencoder,1.0,0,0.001,0.1484892317220766,0.76,0.46,0.7048978046576739,0.6104878048780488,0.5,local,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9871058060713234,0.00016752340889070183,0.0001,0.1622431745788762,1.0,0.2,0.6470501640866346,0.5873170731707317,0.5,local,0.5
TwoLeadECG,2,LSTM autoencoder,0.9871058060713234,0.004140444565564394,0.0005,0.5655477722898532,0.94,1.0,2.2554895132496053,0.18804878048780488,0.5,local,0.5
TwoLeadECG,2,No autoencoder,0.9871058060713234,0,0.001,0.13275787526951988,0.98,0.34,0.5294583590336132,0.6695121951219513,0.5,local,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896551724138,0.0002187599311582744,0.0001,0.17112766361999598,0.64,0.48,0.7272083896479389,0.631219512195122,0.5,local,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896551724138,0.003673774655908346,0.0005,0.5260787591788885,1.0,1.0,2.235575939025225,0.2146341463414634,0.5,local,0.5
TwoLeadECG,3,No autoencoder,0.9956896551724138,0,0.001,0.14666891789764802,0.58,0.58,0.6232707520193799,0.5851219512195122,0.5,local,0.5
TwoLeadECG,4,1dCNN autoencoder,1.0,0.00019955907191615552,0.0001,0.17196757967692466,0.6,0.48,0.7015033414260301,0.5953658536585366,0.5,local,0.5
TwoLeadECG,4,LSTM autoencoder,1.0,0.0038659817073494196,0.0005,0.5360186119296585,0.92,1.0,2.1865682359525227,0.2304878048780488,0.5,local,0.5
TwoLeadECG,4,No autoencoder,1.0,0,0.001,0.1434103445498201,0.66,0.58,0.5850104774734839,0.604390243902439,0.5,local,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896551724138,0.0002005113201448694,0.0001,0.17046911458157574,1.0,0.2,0.6768448427498338,0.5570731707317074,0.5,local,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896551724138,0.004295445512980223,0.0005,0.6579939543211937,0.88,1.0,2.6125542778586355,0.18609756097560975,0.5,local,0.5
TwoLeadECG,5,No autoencoder,0.9956896551724138,0,0.001,0.1317307273000174,0.98,0.44,0.5230347070409319,0.6675609756097561,0.5,local,0.5
